1,,nacional,2015,36511848,Censo,,,,,
2,,nacional,2015,25438532,Votantes,69.7,,,,
3,,nacional,2015,227219,Nulos,,,,,
4,,nacional,2015,25211313,V&aacute;lidos,,,,,
5,,nacional,2015,188132,Blancos,,,,,
6,,nacional,2015,7236965,Partido Popular (PP),28.7,123,,,
7,,nacional,2015,5545315,Partido Socialista Obrero Espa&ntilde;ol (PSOE),22,90,,,
8,,nacional,2015,5212711,Podemos (PODEMOS),20.7,69,,,
9,,nacional,2015,3514528,Ciudadanos-Partido de la Ciudadan&iacute;a (C's),13.9,40,,,
10,,nacional,2015,601782,Esquerra Republicana de Catalunya-Catalunya S&iacute; (ERC-CATSI),2.4,9,,,
11,,nacional,2015,567253,Democr&agrave;cia i Llibertat (DL),2.2,8,,,
12,,nacional,2015,302316,Euzko Alderdi Jeltzalea-Partido Nacionalista Vasco (EAJ-PNV),1.2,6,,,
13,,nacional,2015,926783,Unidad Popular (IU-UP),3.7,2,,,
14,,nacional,2015,219125,Euskal Herria Bildu (EH Bildu),0.9,2,,,
15,,nacional,2015,81917,Coalici&oacute;n Canaria-Partido Nacionalista Canario (CCa-PNC),0.3,1,,,
16,,nacional,2015,220369,Partido Animalista Contra el Maltrato Animal (PACMA),0.9,0,,,
17,,nacional,2015,155153,Uni&oacute;n Progreso y Democracia (UPyD),0.6,0,,,
18,,nacional,2015,70863,N&oacute;s-Candidatura Galega (BNG-CG-FOGA-PCPG-PG),0.3,0,,,
19,,nacional,2015,65388,Uni&oacute; Democr&agrave;tica de Catalunya (unio.cat),0.3,0,,,
20,,nacional,2015,58114,Vox (VOX),0.2,0,,,
21,,nacional,2015,48675,Recortes Cero-Grupo Verde,0.2,0,,,
22,,nacional,2015,33877,M&Eacute;S per Mallorca (M&Eacute;S),0.1,0,,,
23,,nacional,2015,31179,Partido Comunista de los Pueblos de Espa&ntilde;a (PCPE),0.1,0,,,
24,,nacional,2015,30642,Geroa Bai (GBAI),0.1,0,,,
25,,nacional,2015,100226,Otros,0.4,0,,,
26,,Alava,2015,254327,Censo,,,,,
27,,Alava,2015,180941,Votantes,71.1,,,,
28,,Alava,2015,1764,Nulos,,,,,
29,,Alava,2015,179177,V&aacute;lidos,,,,,
30,,Alava,2015,1292,Blancos,,,,,
31,,Alava,2015,48413,Podemos-Ahal Dugu (PODEMOS),27,1,,,
32,,Alava,2015,33683,Partido Popular (PP),18.8,1,,,
33,,Alava,2015,28353,Euzko Alderdi Jeltzalea-Partido Nacionalista Vasco (EAJ-PNV),15.8,1,,,
34,,Alava,2015,25331,Partido Socialista de Euskadi-Euskadiko Ezkerra (PSE-EE/PSOE),14.1,1,,,
35,,Alava,2015,21225,Euskal Herria Bildu (EH Bildu),11.8,0,,,
36,,Alava,2015,10512,Ciudadanos-Partido de la Ciudadan&iacute;a (C's),5.9,0,,,
37,,Alava,2015,6814,Unidad Popular (IU-UP),3.8,0,,,
38,,Alava,2015,1385,Partido Animalista Contra el Maltrato Animal (PACMA),0.8,0,,,
39,,Alava,2015,768,Uni&oacute;n Progreso y Democracia (UPyD),0.4,0,,,
40,,Alava,2015,561,Recortes Cero-Grupo Verde,0.3,0,,,
41,,Alava,2015,175,Partido Comunista de los Pueblos de Espa&ntilde;a (PCPE),0.1,0,,,
42,,Alava,2015,665,Otros,0.4,0,,,
43,,Albacete,2015,310674,Censo,,,,,
44,,Albacete,2015,233882,Votantes,75.3,,,,
45,,Albacete,2015,2300,Nulos,,,,,
46,,Albacete,2015,231582,V&aacute;lidos,,,,,
47,,Albacete,2015,1727,Blancos,,,,,
48,,Albacete,2015,85241,Partido Popular (PP),36.8,2,,,
49,,Albacete,2015,65205,Partido Socialista Obrero Espa&ntilde;ol (PSOE),28.2,1,,,
50,,Albacete,2015,33755,Ciudadanos-Partido de la Ciudadan&iacute;a (C's),14.6,1,,,
51,,Albacete,2015,32320,Podemos (PODEMOS),14,0,,,
52,,Albacete,2015,9306,Unidad Popular (IU-UP),4,0,,,
53,,Albacete,2015,1583,Partido Animalista Contra el Maltrato Animal (PACMA),0.7,0,,,
54,,Albacete,2015,1146,Uni&oacute;n Progreso y Democracia (UPyD),0.5,0,,,
55,,Albacete,2015,538,Vox (VOX),0.2,0,,,
56,,Albacete,2015,305,Recortes Cero-Grupo Verde,0.1,0,,,
57,,Albacete,2015,251,Partido Comunista de los Pueblos de Espa&ntilde;a (PCPE),0.1,0,,,
58,,Albacete,2015,205,Otros,0.1,0,,,
59,,Alicante,2015,1251941,Censo,,,,,
60,,Alicante,2015,913165,Votantes,72.9,,,,
61,,Alicante,2015,7952,Nulos,,,,,
62,,Alicante,2015,905213,V&aacute;lidos,,,,,
63,,Alicante,2015,5293,Blancos,,,,,
64,,Alicante,2015,297083,Partido Popular (PP),32.8,4,,,
65,,Alicante,2015,201610,Comprom&iacute;s-Podemos-&Eacute;s el Moment (PODEMOS-COMPROM&Iacute;S),22.3,3,,,
66,,Alicante,2015,188711,Partido Socialista Obrero Espa&ntilde;ol (PSOE),20.8,3,,,
67,,Alicante,2015,154397,Ciudadanos-Partido de la Ciudadan&iacute;a (C's),17.1,2,,,
68,,Alicante,2015,33397,Unidad Popular (IU-UP),3.7,0,,,
69,,Alicante,2015,8262,Partido Animalista Contra el Maltrato Animal (PACMA),0.9,0,,,
70,,Alicante,2015,5570,Uni&oacute;n Progreso y Democracia (UPyD),0.6,0,,,
71,,Alicante,2015,2227,Vox (VOX),0.2,0,,,
72,,Alicante,2015,1761,Recortes Cero-Grupo Verde,0.2,0,,,
73,,Alicante,2015,1741,Partido Comunista de los Pueblos de Espa&ntilde;a (PCPE),0.2,0,,,
74,,Alicante,2015,5161,Otros,0.6,0,,,
75,,Almeria,2015,490192,Censo,,,,,
76,,Almeria,2015,312315,Votantes,63.7,,,,
77,,Almeria,2015,2419,Nulos,,,,,
78,,Almeria,2015,309896,V&aacute;lidos,,,,,
79,,Almeria,2015,2211,Blancos,,,,,
80,,Almeria,2015,117635,Partido Popular (PP),38,2,,,
81,,Almeria,2015,89434,Partido Socialista Obrero Espa&ntilde;ol (PSOE),28.9,2,,,
82,,Almeria,2015,44494,Ciudadanos-Partido de la Ciudadan&iacute;a (C's),14.4,1,,,
83,,Almeria,2015,39780,Podemos (PODEMOS),12.8,1,,,
84,,Almeria,2015,10828,Unidad Popular (IU-UP),3.5,0,,,
85,,Almeria,2015,2126,Partido Animalista Contra el Maltrato Animal (PACMA),0.7,0,,,
86,,Almeria,2015,1532,Uni&oacute;n Progreso y Democracia (UPyD),0.5,0,,,
87,,Almeria,2015,558,Vox (VOX),0.2,0,,,
88,,Almeria,2015,318,Partido Comunista de los Pueblos de Espa&ntilde;a (PCPE),0.1,0,,,
89,,Almeria,2015,297,Recortes Cero-Grupo Verde,0.1,0,,,
90,,Almeria,2015,683,Otros,0.2,0,,,
91,,Avila,2015,139955,Censo,,,,,
92,,Avila,2015,103251,Votantes,73.8,,,,
93,,Avila,2015,1234,Nulos,,,,,
94,,Avila,2015,102017,V&aacute;lidos,,,,,
95,,Avila,2015,744,Blancos,,,,,
96,,Avila,2015,47072,Partido Popular (PP),46.1,2,,,
97,,Avila,2015,20254,Partido Socialista Obrero Espa&ntilde;ol (PSOE),19.9,1,,,
98,,Avila,2015,15971,Ciudadanos-Partido de la Ciudadan&iacute;a (C's),15.7,0,,,
99,,Avila,2015,11951,Podemos (PODEMOS),11.7,0,,,
100,,Avila,2015,3905,Unidad Popular (IU-UP),3.8,0,,,
101,,Avila,2015,908,Uni&oacute;n Progreso y Democracia (UPyD),0.9,0,,,
102,,Avila,2015,519,Partido Animalista Contra el Maltrato Animal (PACMA),0.5,0,,,
103,,Avila,2015,330,Vox (VOX),0.3,0,,,
104,,Avila,2015,125,Recortes Cero-Grupo Verde,0.1,0,,,
105,,Avila,2015,238,Otros,0.2,0,,,
106,,Badajoz,2015,559247,Censo,,,,,
107,,Badajoz,2015,404576,Votantes,72.3,,,,
108,,Badajoz,2015,5224,Nulos,,,,,
109,,Badajoz,2015,399352,V&aacute;lidos,,,,,
110,,Badajoz,2015,3117,Blancos,,,,,
111,,Badajoz,2015,148493,Partido Socialista Obrero Espa&ntilde;ol (PSOE),37.2,3,,,
112,,Badajoz,2015,137640,Partido Popular (PP),34.5,2,,,
113,,Badajoz,2015,47368,Podemos (PODEMOS),11.9,1,,,
114,,Badajoz,2015,45350,Ciudadanos-Partido de la Ciudadan&iacute;a (C's),11.4,0,,,
115,,Badajoz,2015,12338,Unidad Popular (IU-UP),3.1,0,,,
116,,Badajoz,2015,2041,Partido Animalista Contra el Maltrato Animal (PACMA),0.5,0,,,
117,,Badajoz,2015,1546,Uni&oacute;n Progreso y Democracia (UPyD),0.4,0,,,
118,,Badajoz,2015,508,Recortes Cero-Grupo Verde,0.1,0,,,
119,,Badajoz,2015,951,Otros,0.2,0,,,
120,,Baleares,2015,771381,Censo,,,,,
121,,Baleares,2015,488666,Votantes,63.3,,,,
122,,Baleares,2015,4696,Nulos,,,,,
123,,Baleares,2015,483970,V&aacute;lidos,,,,,
124,,Baleares,2015,3997,Blancos,,,,,
125,,Baleares,2015,140640,Partido Popular (PP),29.1,3,,,
126,,Baleares,2015,111628,Podemos (PODEMOS),23.1,2,,,
